earned_at,xp_amount
2024-10-18T19:31:34.000Z,50
2024-09-25T17:37:31.000Z,100
2024-09-02T11:59:48.000Z,100
2024-07-20T23:25:19.000Z,50
2024-04-26T12:28:21.000Z,50
2024-09-01T16:33:25.000Z,50
2024-06-10T21:00:26.000Z,70
2024-04-26T12:27:00.000Z,100
2024-09-01T16:43:05.000Z,1
2024-10-18T21:41:46.000Z,50
2024-07-21T13:48:02.000Z,25
2024-08-17T18:57:55.000Z,50
2024-09-01T18:32:03.000Z,50
2024-07-21T12:40:36.000Z,100
2024-10-12T20:44:46.000Z,1
2024-11-04T09:44:58.000Z,100
2024-08-13T17:32:16.000Z,50
2024-08-28T06:21:23.000Z,100
2024-09-15T16:24:42.000Z,50
2024-09-26T13:46:48.000Z,50
2024-08-20T20:59:10.000Z,50
2024-09-02T15:57:24.000Z,50
2024-06-10T21:09:48.000Z,50
2024-09-05T22:46:11.000Z,50
2024-10-03T19:00:17.000Z,50
2024-07-15T21:19:52.000Z,100
2024-07-15T22:10:37.000Z,250
2024-07-15T21:16:21.000Z,50
2024-09-10T14:05:02.000Z,50
2024-11-01T22:31:11.000Z,50
2024-09-26T12:27:34.000Z,50
2024-11-02T12:22:46.000Z,50
2024-08-14T17:23:46.000Z,100
2024-06-15T03:13:49.000Z,50
2024-09-01T18:15:08.000Z,1
2024-07-20T23:53:23.000Z,50
2024-09-01T17:41:41.000Z,50
2024-08-13T15:44:59.000Z,50
2024-07-15T21:31:20.000Z,100
2024-09-01T18:23:03.000Z,1
2024-10-03T19:42:02.000Z,50
2024-06-15T02:45:38.000Z,30
2024-06-11T21:12:10.000Z,100
2024-06-15T02:25:53.000Z,1
2024-08-14T16:50:58.000Z,50
2024-11-01T15:26:11.000Z,50
2024-09-05T22:41:24.000Z,100
2024-10-03T19:27:26.000Z,100
2024-10-13T16:06:21.000Z,50
2024-10-15T17:21:06.000Z,50
2024-09-02T11:58:21.000Z,100
2024-09-05T22:46:46.000Z,50
2024-10-13T16:26:48.000Z,50
2024-10-03T19:32:28.000Z,50
2024-10-13T16:23:36.000Z,50
2024-08-13T17:23:59.000Z,50
2024-09-15T16:35:23.000Z,50
2024-11-01T20:38:51.000Z,50
2024-10-18T21:05:07.000Z,50
2024-08-14T16:57:12.000Z,50
2024-08-13T18:06:20.000Z,50
2024-09-01T16:59:03.000Z,100
2024-09-01T17:42:48.000Z,1
2024-11-01T22:42:41.000Z,100
2024-10-18T19:40:22.000Z,50
2024-09-08T18:24:42.000Z,50
2024-07-15T21:52:05.000Z,50
2024-09-25T14:48:49.000Z,100
2024-06-09T21:17:31.000Z,50
2024-07-21T14:11:52.000Z,25
2024-06-10T20:15:02.000Z,50
2024-09-10T16:45:41.000Z,100
2024-09-05T23:19:53.000Z,100
2024-09-10T16:04:28.000Z,50
2024-11-02T12:06:06.000Z,50
2024-07-20T20:01:15.000Z,35
2024-08-15T13:59:20.000Z,50
2024-07-20T19:58:48.000Z,35
2024-03-17T12:28:47.000Z,250
2024-08-14T14:40:04.000Z,50
2024-09-01T16:43:35.000Z,1
2024-09-02T13:14:15.000Z,50
2024-08-17T17:19:18.000Z,50
2024-07-20T23:39:56.000Z,50
2024-06-09T21:08:13.000Z,100
2024-09-05T23:19:17.000Z,50
2024-10-12T20:42:03.000Z,100
2024-09-01T16:26:35.000Z,1
2024-11-02T12:11:31.000Z,50
2024-07-15T21:51:24.000Z,50
2024-03-19T19:02:54.000Z,250
2024-09-01T18:14:25.000Z,1
2024-07-20T23:41:07.000Z,50
2024-09-02T11:55:44.000Z,100
2024-09-10T16:27:22.000Z,1
2024-11-01T15:03:26.000Z,50
2024-07-20T20:37:02.000Z,30
2024-09-01T16:40:26.000Z,100
2024-09-02T11:54:47.000Z,50
2024-07-20T20:00:01.000Z,30
2024-08-13T18:01:16.000Z,100
2024-09-02T11:59:22.000Z,50
2024-06-10T21:14:16.000Z,100
2024-07-20T19:53:56.000Z,50
2024-07-21T13:35:23.000Z,50
2024-08-17T17:11:02.000Z,50
2024-09-10T14:24:43.000Z,1
2024-07-21T14:32:44.000Z,1500
2024-09-01T18:24:03.000Z,1
2024-04-26T20:24:59.000Z,100
2024-07-21T14:16:25.000Z,50
2024-07-15T21:23:21.000Z,50
2024-09-03T12:20:05.000Z,50
2024-07-15T21:37:39.000Z,50
2024-06-15T03:04:18.000Z,50
2024-10-04T15:56:12.000Z,50
2024-09-02T14:40:32.000Z,50
2024-08-25T20:03:50.000Z,50
2024-07-14T12:09:56.000Z,50
2024-10-18T21:35:39.000Z,50
2024-10-18T20:52:16.000Z,1
2024-08-15T13:43:48.000Z,100
2024-04-27T13:57:54.000Z,100
2024-03-20T00:04:16.000Z,250
2024-07-21T12:31:40.000Z,100
2024-10-04T15:52:25.000Z,50
2024-09-01T17:43:24.000Z,1
2024-09-26T11:33:46.000Z,50
2024-08-14T14:39:12.000Z,50
2024-09-01T17:43:34.000Z,1
2024-09-15T15:24:22.000Z,50
2024-09-10T16:52:33.000Z,50
2024-04-26T21:22:49.000Z,92
2024-04-26T12:38:20.000Z,50
2024-10-15T16:25:23.000Z,50
2024-07-15T21:40:51.000Z,50
2024-07-26T13:01:28.000Z,50
2024-06-11T21:07:41.000Z,50
2024-09-26T13:59:59.000Z,100
2024-08-14T17:53:59.000Z,100
2024-07-15T21:54:47.000Z,35
2024-10-18T22:01:11.000Z,50
2024-09-05T23:18:54.000Z,50
2024-07-15T21:46:22.000Z,100
2024-10-13T16:19:57.000Z,50
2024-10-05T20:06:52.000Z,50
2024-04-26T12:08:16.000Z,50
2024-08-13T17:41:25.000Z,100
2024-08-17T17:02:19.000Z,50
2024-07-20T20:03:00.000Z,35
2024-10-15T17:41:23.000Z,50
2024-08-28T05:52:49.000Z,50
2024-06-10T19:52:13.000Z,50
2024-10-03T18:44:31.000Z,100
2024-06-09T20:38:56.000Z,50
2024-04-27T15:14:09.000Z,50
2024-10-18T20:43:19.000Z,1
2024-07-15T21:19:20.000Z,50
2024-08-17T17:13:18.000Z,100
2024-11-05T10:18:12.000Z,100
2024-07-26T13:36:23.000Z,30
2024-04-26T19:49:43.000Z,85
2024-06-10T21:15:23.000Z,100
2024-09-01T16:43:09.000Z,1
2024-10-04T15:53:09.000Z,100
2024-10-03T19:04:47.000Z,50
2024-08-21T18:22:59.000Z,35
2024-06-10T21:06:50.000Z,50
2024-09-26T14:05:13.000Z,50
2024-09-01T17:55:27.000Z,1
2024-06-10T20:28:37.000Z,50
2024-10-13T20:15:14.000Z,50
2024-04-27T14:17:33.000Z,50
2024-06-10T20:28:06.000Z,50
2024-09-01T18:14:21.000Z,1
2024-09-01T18:00:22.000Z,50
2024-10-04T16:18:05.000Z,50
2024-07-26T13:35:25.000Z,35
2024-11-02T10:54:18.000Z,50
2024-08-21T17:30:28.000Z,70
2024-04-27T12:45:45.000Z,50
2024-10-12T20:42:16.000Z,1
2024-07-15T21:27:05.000Z,50
2024-07-14T12:04:13.000Z,25
2024-09-15T16:00:52.000Z,50
2024-07-28T21:48:28.000Z,100
2024-11-05T11:05:46.000Z,50
2024-08-13T16:00:58.000Z,50
2024-04-26T19:53:59.000Z,100
2024-09-26T12:27:51.000Z,50
2024-06-10T21:16:30.000Z,50
2024-10-18T21:52:25.000Z,35
2024-10-03T18:59:26.000Z,50
2024-08-21T17:33:31.000Z,50
2024-08-14T17:08:39.000Z,50
2024-09-26T12:22:41.000Z,50
2024-09-02T12:07:08.000Z,100
2024-08-14T15:00:48.000Z,100
2024-09-01T18:07:49.000Z,1
2024-07-21T12:53:31.000Z,50
2024-07-20T23:49:31.000Z,50
2024-04-26T20:16:28.000Z,50
2024-08-25T19:42:52.000Z,100
2024-08-17T17:32:58.000Z,50
2024-08-14T17:53:16.000Z,100
2024-08-28T07:32:17.000Z,50
2024-06-09T20:54:00.000Z,100
2024-08-14T18:25:06.000Z,50
2024-10-18T21:38:28.000Z,50
2024-07-20T23:36:56.000Z,50
2024-08-21T18:23:50.000Z,30
2024-11-01T20:59:41.000Z,50
2024-07-14T12:02:22.000Z,25
2024-09-01T17:44:10.000Z,1
2024-09-26T12:06:29.000Z,50
2024-11-01T20:59:50.000Z,50
2024-06-15T02:44:34.000Z,35
2024-06-13T14:23:33.000Z,50
2024-10-13T19:25:13.000Z,50
2024-07-20T19:03:29.000Z,100
2024-07-15T21:54:57.000Z,50
2024-04-26T12:09:35.000Z,100
2024-08-14T17:08:08.000Z,50
2024-09-10T14:11:45.000Z,50
2024-07-20T23:47:16.000Z,50
2024-09-25T18:53:01.000Z,50
2024-09-25T18:41:04.000Z,50
2024-11-01T20:43:05.000Z,50
2024-09-01T18:01:46.000Z,100
2024-08-14T15:02:54.000Z,50
2024-07-20T20:25:38.000Z,50
2024-07-26T12:59:55.000Z,50
2024-11-05T10:13:49.000Z,50
2024-10-12T20:29:33.000Z,50
2024-09-26T14:16:59.000Z,50
2024-11-05T09:43:02.000Z,50
2024-11-01T20:43:14.000Z,50
2024-10-03T19:22:46.000Z,100
2024-09-01T18:23:13.000Z,1
2024-09-01T16:26:49.000Z,1
2024-08-14T15:00:10.000Z,50
2024-09-01T16:11:29.000Z,25
2024-09-05T22:40:55.000Z,50
2024-04-26T17:47:14.000Z,50
2024-04-26T20:09:06.000Z,50
2024-04-26T19:15:09.000Z,100
2024-05-11T14:17:02.000Z,100
2024-07-03T20:30:12.000Z,250
2024-09-25T15:08:25.000Z,50
2024-09-01T18:07:53.000Z,1
2024-09-26T12:23:24.000Z,100
2024-09-26T12:28:24.000Z,100
2024-11-02T12:23:24.000Z,100
2024-04-26T17:37:00.000Z,50
2024-09-26T11:39:05.000Z,50
2024-07-15T21:27:13.000Z,50
2024-06-10T21:15:28.000Z,50
2024-08-21T17:26:42.000Z,50
2024-08-21T18:29:04.000Z,100
2024-07-21T13:48:42.000Z,1
2024-09-01T16:35:07.000Z,100
2024-06-11T22:17:00.000Z,50
2024-11-01T22:42:56.000Z,100
2024-04-26T12:57:42.000Z,50
2024-07-21T14:15:06.000Z,25
2024-08-13T17:53:46.000Z,50
2024-10-18T19:24:26.000Z,100
2024-08-13T18:54:19.000Z,100
2024-04-08T15:58:46.000Z,100
2024-09-26T14:00:45.000Z,50
2024-10-18T19:13:18.000Z,50
2024-11-02T12:13:20.000Z,50
2024-09-01T18:07:46.000Z,1
2024-08-14T17:52:30.000Z,50
2024-07-20T19:07:29.000Z,1
2024-09-01T17:42:54.000Z,1
2024-09-15T16:28:09.000Z,50
2024-08-20T21:21:42.000Z,50
2024-09-26T13:51:59.000Z,50
2024-10-18T19:26:50.000Z,50
2024-10-13T16:20:13.000Z,50
2024-10-03T18:55:45.000Z,50
2024-10-18T20:42:52.000Z,30
2024-04-30T22:10:50.000Z,1500
2024-11-01T20:59:59.000Z,50
2024-11-02T10:55:31.000Z,50
2024-06-11T20:55:53.000Z,50
2024-09-10T16:27:28.000Z,1
2024-10-18T21:36:09.000Z,1
2024-06-10T21:07:50.000Z,100
2024-06-15T03:13:42.000Z,50
2024-06-11T22:09:48.000Z,50
2024-10-03T18:49:47.000Z,100
2024-06-13T14:59:45.000Z,18
2024-07-21T13:47:48.000Z,1
2024-06-13T14:23:01.000Z,35
2024-07-21T13:48:46.000Z,25
2024-10-03T19:17:03.000Z,50
2024-06-11T20:58:01.000Z,100
2024-06-13T14:23:05.000Z,30
2024-10-03T19:29:52.000Z,50
2024-09-02T12:05:40.000Z,50
2024-09-01T16:40:11.000Z,50
2024-11-05T11:09:23.000Z,100
2024-03-20T00:08:24.000Z,250
2024-09-26T13:59:06.000Z,50
2024-09-05T23:10:13.000Z,50
2024-08-28T06:31:38.000Z,50
2024-10-05T19:59:27.000Z,50
2024-08-28T06:25:27.000Z,100
2024-06-11T21:33:02.000Z,100
2024-10-03T18:55:12.000Z,100
2024-09-01T16:11:36.000Z,25
2024-08-13T17:41:44.000Z,50
2024-11-01T14:36:54.000Z,50
2024-09-05T23:05:44.000Z,50
2024-11-01T22:32:48.000Z,50
2024-09-26T13:51:15.000Z,50
2024-04-27T15:52:34.000Z,50
2024-10-18T16:52:08.000Z,50
2024-09-10T14:24:53.000Z,30
2024-09-26T13:40:08.000Z,50
2024-09-01T19:49:41.000Z,1500
2024-04-26T20:21:23.000Z,100
2024-05-31T19:46:15.000Z,1500
2024-06-13T14:22:35.000Z,50
2024-09-02T13:08:41.000Z,50
2024-06-09T20:40:33.000Z,100
2024-10-18T21:08:13.000Z,50
2024-08-14T16:51:39.000Z,50
2024-08-13T18:45:07.000Z,50
2024-09-26T12:16:58.000Z,50
2024-10-12T20:31:16.000Z,100
2024-09-26T13:46:31.000Z,50
2024-10-15T17:30:55.000Z,100
2024-08-13T16:02:17.000Z,100
2024-07-15T21:32:46.000Z,100
2024-11-04T09:36:47.000Z,100
2024-10-13T16:07:50.000Z,1
2024-10-18T21:33:02.000Z,50
2024-11-04T09:36:10.000Z,100
2024-10-12T20:42:26.000Z,1
2024-07-15T21:19:30.000Z,50
2024-09-01T16:26:45.000Z,1
2024-07-21T13:55:34.000Z,50
2024-08-13T17:32:27.000Z,50
2024-04-26T12:25:14.000Z,50
2024-11-01T15:04:06.000Z,100
2024-08-21T18:19:03.000Z,50
2024-10-18T16:52:55.000Z,100
2024-09-02T15:58:52.000Z,50
2024-09-08T20:00:23.000Z,50
2024-09-01T16:27:43.000Z,1
2024-09-01T16:33:16.000Z,50
2024-10-12T20:44:27.000Z,1
2024-10-13T16:24:33.000Z,100
2024-09-15T15:21:40.000Z,50
2024-08-20T20:53:37.000Z,50
2024-09-01T17:56:29.000Z,1
2024-08-13T17:08:34.000Z,1500
2024-09-02T12:34:24.000Z,50
2024-07-14T12:20:14.000Z,50
2024-07-15T21:58:07.000Z,100
2024-11-04T09:44:35.000Z,100
2024-10-12T20:30:37.000Z,100
2024-04-08T15:57:53.000Z,50
2024-10-15T17:26:33.000Z,100
2024-10-12T20:44:21.000Z,1
2024-07-21T14:13:53.000Z,25
2024-06-15T03:04:51.000Z,50
2024-06-10T18:47:12.000Z,100
2024-09-25T15:19:36.000Z,100
2024-06-15T02:52:26.000Z,50
2024-09-01T18:23:07.000Z,1
2024-05-02T22:00:27.000Z,1500
2024-10-18T21:35:47.000Z,35
2024-07-14T12:04:58.000Z,25
2024-06-09T20:27:18.000Z,50
2024-08-14T17:31:47.000Z,50
2024-08-13T18:48:43.000Z,50
2024-06-10T19:06:08.000Z,50
2024-07-14T12:13:13.000Z,50
2024-10-04T16:01:37.000Z,50
2024-09-08T18:12:50.000Z,50
2024-09-10T14:24:15.000Z,1
2024-09-01T17:54:48.000Z,1
2024-09-01T18:15:32.000Z,1
2024-07-21T13:46:06.000Z,50
2024-09-25T14:58:19.000Z,50
2024-06-09T20:46:33.000Z,100
2024-10-04T17:48:47.000Z,50
2024-08-13T17:33:05.000Z,100
2024-08-14T18:25:23.000Z,50
2024-06-10T20:20:05.000Z,100
2024-04-27T15:41:54.000Z,100
2024-10-18T20:42:39.000Z,50
2024-10-12T20:43:34.000Z,1
2024-06-09T21:00:38.000Z,50
2024-06-11T14:08:41.000Z,1500
2024-10-03T19:05:28.000Z,50
2024-09-05T22:42:08.000Z,100
2024-09-01T16:27:46.000Z,1
2024-10-03T19:17:46.000Z,100
2024-08-13T18:44:13.000Z,50
2024-06-15T03:04:36.000Z,50
2024-08-14T18:21:05.000Z,50
2024-11-05T10:28:45.000Z,50
2024-09-10T14:23:26.000Z,50
2024-09-26T13:52:24.000Z,50
2024-07-05T23:15:10.000Z,50
2024-11-01T15:22:25.000Z,50
2024-08-20T21:11:07.000Z,100
2024-08-13T16:03:20.000Z,50
2024-04-27T13:35:24.000Z,92
2024-07-14T12:08:15.000Z,35
2024-08-13T18:55:20.000Z,50
2024-09-02T12:39:19.000Z,1
2024-10-03T19:05:10.000Z,100
2024-09-10T14:41:59.000Z,50
2024-09-26T12:17:15.000Z,50
2024-07-21T12:42:08.000Z,50
2024-07-15T21:31:11.000Z,50
2024-08-25T19:38:30.000Z,100
2024-06-10T21:06:36.000Z,50
2024-10-04T17:47:39.000Z,50
2024-10-18T18:33:48.000Z,50
2024-04-08T15:57:03.000Z,50
2024-09-02T11:56:52.000Z,50
2024-07-21T12:40:25.000Z,50
2024-08-21T18:32:18.000Z,50
2024-10-14T18:06:36.000Z,50
2024-11-05T10:15:14.000Z,100
2024-04-27T13:29:47.000Z,50
2024-10-18T21:04:18.000Z,50
2024-08-13T17:54:46.000Z,100
2024-06-11T20:59:55.000Z,100
2024-09-26T11:43:55.000Z,50
2024-09-01T17:56:22.000Z,1
2024-09-01T18:23:10.000Z,1
2024-07-28T21:24:34.000Z,50
2024-06-10T20:04:10.000Z,100
2024-09-02T11:57:12.000Z,50
2024-10-13T16:13:28.000Z,100
2024-07-14T12:16:24.000Z,50
2024-09-01T18:24:29.000Z,1
2024-08-14T14:40:28.000Z,100
2024-09-01T16:17:44.000Z,50
2024-08-21T18:09:42.000Z,50
2024-09-25T14:52:43.000Z,100
2024-10-03T19:42:13.000Z,50
2024-10-04T17:23:43.000Z,50
2024-07-20T23:53:01.000Z,50
2024-09-15T16:17:17.000Z,50
2024-10-14T18:00:44.000Z,50
2024-04-26T12:29:27.000Z,50
2024-10-13T16:07:56.000Z,1
2024-10-13T16:21:24.000Z,100
2024-04-26T19:18:41.000Z,50
2024-07-26T13:35:50.000Z,35
2024-06-15T02:49:56.000Z,35
2024-11-01T14:39:22.000Z,100
2024-08-14T16:57:53.000Z,50
2024-08-28T09:33:46.000Z,50
2024-09-10T16:45:16.000Z,50
2024-06-09T21:19:19.000Z,50
2024-10-03T19:22:14.000Z,50
2024-10-18T21:51:49.000Z,50
2024-10-03T19:00:46.000Z,50
2024-09-15T15:28:54.000Z,100
2024-08-17T18:19:25.000Z,50
2024-09-01T18:32:00.000Z,50
2024-11-01T20:55:53.000Z,50
2024-08-13T15:46:13.000Z,100
2024-04-27T15:19:31.000Z,92
2024-09-01T18:33:23.000Z,50
2024-09-26T11:43:37.000Z,100
2024-10-07T11:27:29.000Z,35
2024-06-15T02:44:16.000Z,35
2024-11-01T20:33:20.000Z,100
2024-10-15T17:21:19.000Z,50
2024-09-26T11:43:00.000Z,50
2024-06-11T22:11:15.000Z,50
2024-07-21T12:49:29.000Z,50
2024-09-01T17:55:02.000Z,1
2024-09-10T16:04:54.000Z,1
2024-10-04T10:55:17.000Z,100
2024-06-15T02:25:07.000Z,1
2024-10-03T19:23:01.000Z,50
2024-11-05T11:07:36.000Z,50
2024-10-15T17:06:30.000Z,50
2024-07-20T19:55:20.000Z,100
2024-10-03T19:32:22.000Z,35
2024-03-19T18:42:00.000Z,250
2024-04-26T20:43:24.000Z,50
2024-09-26T13:41:27.000Z,50
2024-07-21T12:52:45.000Z,35
2024-08-13T18:56:06.000Z,50
2024-06-11T22:01:10.000Z,50
2024-09-25T18:28:41.000Z,50
2024-09-15T15:22:57.000Z,100
2024-09-26T12:28:13.000Z,50
2024-11-01T20:34:54.000Z,50
2024-07-28T21:37:14.000Z,50
2024-09-01T16:42:12.000Z,25
2024-10-18T20:52:20.000Z,1
2024-09-01T17:49:18.000Z,50
2024-07-20T23:38:17.000Z,100
2024-09-01T16:11:03.000Z,25
2024-09-10T16:37:09.000Z,50
2024-11-01T20:38:39.000Z,100
2024-08-13T18:47:53.000Z,100
2024-04-27T15:27:08.000Z,100
2024-10-18T21:35:43.000Z,1
2024-06-15T02:52:01.000Z,30
2024-04-26T17:36:01.000Z,50
2024-08-28T06:04:51.000Z,50
2024-09-26T14:05:27.000Z,50
2024-09-26T13:41:48.000Z,100
2024-07-15T21:57:21.000Z,50
2024-10-04T17:06:19.000Z,50
2024-04-26T20:07:48.000Z,50
2024-11-02T12:20:47.000Z,50
2024-08-13T15:45:30.000Z,50
2024-04-26T12:39:21.000Z,100
2024-08-28T08:20:13.000Z,50
2024-04-26T12:49:12.000Z,100
2024-06-11T22:01:21.000Z,50
2024-09-26T13:51:41.000Z,100
2024-08-15T14:19:53.000Z,50
2024-04-26T17:36:43.000Z,50
2024-09-15T16:12:17.000Z,50
2024-10-13T19:26:10.000Z,50
2024-10-15T17:42:45.000Z,50
2024-10-07T11:27:41.000Z,1
2024-09-01T18:14:13.000Z,50
2024-10-15T17:14:31.000Z,50
2024-11-02T12:06:34.000Z,50
2024-09-01T17:49:51.000Z,50
2024-04-26T19:39:20.000Z,100
2024-09-01T17:43:26.000Z,1
2024-07-20T20:04:23.000Z,30
2024-06-11T21:09:41.000Z,100
2024-06-11T21:47:49.000Z,100
2024-07-14T12:00:35.000Z,50
2024-07-26T13:35:12.000Z,50
2024-10-04T18:16:57.000Z,1500
2024-11-05T10:19:40.000Z,100
2024-11-02T12:23:35.000Z,50
2024-10-14T18:07:25.000Z,50
2024-06-11T21:32:29.000Z,50
2024-09-01T18:05:19.000Z,50
2024-10-03T19:30:19.000Z,50
2024-10-18T21:59:53.000Z,50
2024-09-25T17:37:15.000Z,50
2024-09-02T11:58:27.000Z,50
2024-06-10T20:01:57.000Z,100
2024-06-09T21:04:17.000Z,100
2024-08-14T17:32:28.000Z,50
2024-07-21T13:56:00.000Z,100
2024-06-10T19:59:29.000Z,70
2024-10-04T17:48:02.000Z,50
2024-07-28T21:38:33.000Z,50
2024-10-15T17:44:30.000Z,50
2024-09-26T13:58:28.000Z,50
2024-09-01T16:12:02.000Z,100
2024-08-14T18:33:09.000Z,50
2024-09-23T19:01:54.000Z,1
2024-11-02T12:43:06.000Z,50
2024-04-27T12:19:13.000Z,50
2024-08-14T16:58:46.000Z,100
2024-10-18T20:43:14.000Z,1
2024-06-10T21:09:14.000Z,100
2024-09-10T16:27:15.000Z,50
2024-08-28T06:19:42.000Z,50
2024-09-02T11:58:30.000Z,50
2024-09-10T16:11:57.000Z,50
2024-07-20T20:26:09.000Z,50
2024-09-05T23:13:04.000Z,50
2024-09-02T11:56:36.000Z,100
2024-08-20T20:44:51.000Z,50
2024-10-18T21:00:15.000Z,50
2024-08-14T17:56:13.000Z,100
2024-10-04T15:52:53.000Z,50
2024-09-10T16:38:09.000Z,1
2024-06-13T14:53:05.000Z,50
2024-10-03T18:54:14.000Z,50
2024-05-11T14:32:19.000Z,50
2024-08-13T17:24:37.000Z,50
2024-09-01T16:27:40.000Z,25
2024-06-15T02:40:13.000Z,50
2024-09-25T14:59:51.000Z,100
2024-06-11T22:06:10.000Z,50
2024-06-11T20:56:20.000Z,50
2024-08-13T18:56:30.000Z,100
2024-09-08T18:12:40.000Z,50
2024-10-18T21:00:00.000Z,50
2024-06-13T03:47:33.000Z,250
2024-04-26T20:09:34.000Z,50
2024-04-27T15:37:01.000Z,50
2024-09-02T11:59:25.000Z,50
2024-08-28T08:53:13.000Z,50
2024-08-13T18:53:53.000Z,50
2024-10-15T17:25:17.000Z,50
2024-07-14T12:09:20.000Z,30
2024-08-14T15:13:58.000Z,50
2024-10-13T20:08:33.000Z,50
2024-08-25T19:38:02.000Z,50
2024-07-14T12:07:11.000Z,1
2024-09-15T15:25:17.000Z,100
2024-06-13T14:27:53.000Z,50
2024-11-01T20:31:50.000Z,50
2024-11-01T20:56:08.000Z,50
2024-10-18T19:23:15.000Z,100
2024-05-11T14:15:38.000Z,50
2024-11-05T09:54:04.000Z,50
2024-06-09T20:58:38.000Z,100
2024-07-21T14:15:20.000Z,1
2024-06-15T02:48:47.000Z,50
2024-07-15T21:36:37.000Z,50
2024-10-13T19:43:36.000Z,50
2024-08-21T19:33:45.000Z,1500
2024-08-14T14:51:10.000Z,50
2024-09-02T11:59:58.000Z,50
2024-10-18T19:40:11.000Z,50
2024-06-11T21:31:50.000Z,50
2024-10-18T20:43:23.000Z,30
2024-11-01T14:37:26.000Z,50
2024-08-28T09:39:01.000Z,50
2024-08-28T09:45:31.000Z,100
2024-08-28T07:21:24.000Z,50
2024-06-11T21:45:02.000Z,50
2024-09-05T23:20:47.000Z,100
2024-11-01T20:56:01.000Z,50
2024-06-15T03:14:39.000Z,50
2024-04-26T20:55:27.000Z,100
2024-10-13T16:07:39.000Z,1
2024-07-21T14:07:24.000Z,50
2024-06-13T14:22:41.000Z,50
2024-08-21T18:19:06.000Z,50
2024-09-02T11:59:18.000Z,50
2024-08-14T17:06:18.000Z,50
2024-09-25T12:24:52.000Z,50
2024-07-15T21:58:58.000Z,50
2024-11-01T22:31:31.000Z,50
2024-11-01T20:37:52.000Z,50
2024-09-15T15:27:57.000Z,50
2024-07-21T14:15:26.000Z,30
2024-10-13T16:07:32.000Z,35
2024-07-21T14:07:44.000Z,50
2024-11-01T22:42:13.000Z,100
2024-09-01T16:41:12.000Z,25
2024-10-03T18:44:46.000Z,50
2024-09-02T11:54:42.000Z,50
2024-10-04T10:53:24.000Z,50
2024-10-15T16:41:36.000Z,50
2024-10-03T18:54:36.000Z,50
2024-08-13T15:43:26.000Z,50
2024-11-02T10:55:24.000Z,50
2024-08-14T17:33:54.000Z,100
2024-06-09T20:51:34.000Z,50
2024-09-02T11:57:54.000Z,50
2024-11-01T20:39:10.000Z,50
2024-08-14T17:21:55.000Z,50
2024-09-01T18:13:59.000Z,50
2024-06-09T20:48:04.000Z,100
2024-06-11T21:32:16.000Z,50
2024-08-28T09:33:51.000Z,50
2024-09-01T16:09:35.000Z,100
2024-10-03T19:35:14.000Z,50
2024-08-13T18:06:00.000Z,50
2024-07-20T23:20:30.000Z,50
2024-08-14T18:21:43.000Z,50
2024-09-10T14:39:38.000Z,50
2024-09-01T16:58:45.000Z,50
2024-08-28T07:28:36.000Z,50
